GeneSymbol	n	Tissues
1103	ZNF827	2	2
1104	ZNF844	2	2
1105	NDUFAF7	2	2
1106	ANKRD29	2	1
1107	TRA2A	2	1
1108	CD276	2	1
1109	DHX57	2	1
1110	DIS3L	2	1
1111	ERGIC1	2	1
1112	ESRRG	2	1
1113	FOXRED1	2	1
1114	GIT2	2	1
1115	GPAA1	2	1
1116	KCTD10	2	1
1117	KCTD9	2	1
1118	KIAA0430	2	1
1119	KLHL3	2	1
1120	MAP2K3	2	1
1121	MCM2	2	1
1122	MFSD1	2	1
1123	PPP6R3	2	1
1124	PTCD3	2	1
1125	PTPRE	2	1
1126	RTEL1	2	1
1127	SEMA6D	2	1
1128	SHPRH	2	1
1129	SRPK1	2	1
1130	STXBP4	2	1
1131	ACTR10	2	1
1132	ADGRA3	2	1
1133	ALG3	2	1
1134	ANKRD12	2	1
1135	ANKZF1	2	1
1136	ASCC1	2	1
1137	ATG4A	2	1
1138	ATG4D	2	1
1139	ATP5A1	2	1
1140	ATP6AP1	2	1
1141	CD151	2	1
1142	DZIP3	2	1
1143	EEF1B2	2	1
1144	ELAC2	2	1
1145	ELOVL1	2	2
1146	EOGT	2	1
1147	ETF1	2	1
1148	FCF1	2	1
1149	FOCAD	2	1
1150	GANAB	2	1
